verb,verbs,nouns
exist,"['exist', 'existed']","['love', 'people', 'parts', 'object', 'order', 'verdicts', 'period', 'anything', 'soul', 'limitations', 'image', 'lot', 'life', 'defy', 'shares', 'x', 'interest', 'figures', 'dangers', 'body', 'certainties', 'being', 't', 'layer', 'colonies', 'systems', 'anchors', 'mutations', 'state', 'today', 'suspicions', 'reasons', 'fad', 'democracy', 'descremination', 'scenarios', 'sequences', 'contract', 'women', 'moments', 'dashes', 'place', 'cloud', 'kind', 'millions', 'none', '%', 'problems', 'group', 'woman', 'cars', 'account', 'views', 'negotiations', 'sort', 'reason', 'features', 'agencies', 'something', 'characteristics', 'ether', 'temperatures', 'system', 'concept']"
flood,"['flood', 'flooded']","['planet', 'computer', 'imaginations', 'area', 'city', 'space']"
smell,"['smell', 'smells']","['fragrance', 'world', 'roses', 'coffee', 'smoke', 'mining', 'children', 'someone', 'atomisers', 'hunt', 'sewage', 'something', 'crap']"
roll,"['roll', 'rolls']","['ball', 'troops', 'guy', 'tears', 'features', 'holidays', 'bed', 'system', 'conclusion', 'nothing', 'car', 'generator', 'number']"
scream,"['scream', 'screams']","['t', 'time', 'capitalists', 'accuse', 'body', 'curls', 'wind']"
entrust,"['entrust', 'entrusted']","['goal', 'custody', 'whom', 'making']"
push,"['push', 'pushing']","['pumpkins', 'bridge', 'muscles', 'guts', 'number', 'solutions', 'element', 'ball', 'team', 'accelerator', 'premie', 'democracy', 'body', 'ear', 'eyes', 'thinking', 'bit', 'development', 'stuff', 'fraud', 'population', 'point', 'world', 'bunch', 'plane', 'thoughts', 'side', 'extras', 'government', 'economy', 'trolley', 'prices', 'way', 'molecules', 'selena', 'one', 'chips', 'claim', 'aspects', 'abortion', 'luck', 'life', 'boundaries', 'idea', 'staff', 'features', 'baby', 'countries', 'bills', 'practice', 'barriers', 'target', 'people', 'boys', 'everyone', 'woman', 'speed', 'garbage', 'envelope', 'papers', 'amphibian', 'pedal', 'battles', 'demand']"
disassociate,"['disassociate', 'disassociated']","['crime', 'government']"
jerk,"['jerk', 'jerked']","['wheel', 'head', 'person']"
mobilise,"['mobilise', 'mobilised']","['troops', 'force']"
mourn,"['mourn', 'mourned']",['martyrdom']
exact,"['exact', 'exacted']","['revenge', 'escalation', 'price', 'feet']"
tear,"['tear', 'tearing']","['heart', 'cupboards', 'article', 'sources', 'stretch', 'posters', 'preadolescent', 'page', 'sheet', 'dresses']"
leave,"['leave', 'leaves', 'leaving']","['story', 'people', 'picture', 'belongings', 'xhtml', 'comment', 'reply', 'road', 'comments', 'triathletes', 'gap', 'palace', 'car', 'crease', 'freedom', 'decision', 'stone', 'head', 'player', 'launch', 'jetty', 'declaration', 'someone', 'guest', 'company', 'racism', 'problems', 'facility', 'fall', 'taste', 'mark', 'scarf', 'element', 'passing', 'lives', 'doubt', 'education', 'left', 'plane', 'ground', 'country', 'comb', 'frats', 'ray', 'top', 'hurrying', 'things', 'book', 'matter', 'survivor', 'everyone', 'dreams', 'hole', 'turn', 'rates', '-labels', 'fans', 'house', 'boat', 'owner', 'china', 'homes', 'discretion', 'comfort', 'discomfort', 'relish', 'balls', 'population', 'life', 'filament', 'factory', 'confederation', 'bits', 'arrangements', 'office', 'ship', 'freeloaders', 'something', 'countries', 'system', 'doors', 'members', 'man', 'morning', 'day', 'city', 'fluorescents', 'van', 'carnage', 'eurozone', 'cost', 'capitalism', 'leisure', 'school', 'age', 'folks', 'rest', 'place', 'door', 'herd', 'monastery', 'scene', 'possibility', 'plaintiffs', 'university', 'panel', 'year', 'hair', 'shinier', 'infant', 'custom', 'areas', 'audience', 'space', 'children', 'champions', 'pieces', 'teachers', 'profession']"
settle,"['settle', 'settles', 'settling']","['indebtedness', 'parties', 'suit', 'functionaries', 'resin', 'precipitate', 'sulfides', 'area', 'region', 'dispute', 'issue', 'things', 'problems', 'issues', 'solids', 'disputes', 'boys', 'herders', 'scores', 'dues', 'arguments', 'judgment', 'matter', 'score', 'accounts']"
team,"['team', 'teamed']",['events']
prevent,"['prevent', 'prevented']","['spotting', 'criticism', 'others', 'companion', 'people', 'shedding', 'companions', 'destruction', 'sort', 'defilements', 'anger', 'behaviour', 'passions', 'drifting', 'bloodshed', 'rebirth', 'wiping', 'movement', 'births', 'hypokalaemia', 'inflexibility', 'abuse', 'issue', 'idea', 'government', 'someone', 'hostility', 'rash', 'acceptance', 'antidepressants', 'breakdown', 'complications', 'infarction', 'clots', 'rhythms', 'malnutrition', 'condom', 'massacre', 'preference', 'use', 'seizures', 'forces', 'voters', 'apartheid', 'selectors', 'behaviou', 'hiring', 'symptoms', 'hair', 'up', 'loss', 'function', 'damage', 'children', 'material', 'injuries', 'waves', 'reflection', 'organizations', 'nothing', 'increase', 'catastrophe', 'crimes', 'page', 'taking', 'illness', 'growth', 'pregnancy', 'spread', 'agent', 'access', 'bacteria', 'darkening', 'kids', 'skin', 'grudge', 'grudges', 'downgrade', 'visas', 'outbreak', 'stimulus', 'unemployment', 'mould', 'attack', 'repeat', 'isolation', 'situation', 'riot', 'sandbox', 'shipwrecks', 'war', 'raids', 'crime', 'organisations', 'colds', 'calls', 'caddies', 'contamination', 'germs', 'expression', 'entry', 'emergence', 'trade', 'sheet', 'defence', 'privilege', 'arrests', 'spectators', 'regatta', 'statelessness', 'relapse', 'causes', 'morals', 'recording', 'reality', 'waters', 'approach', 'patient', 'dermographism', 'contracts', 'policy', 'party', 'alteration', 'sense', 'protections', 'eclampsia', 'paralysis', 'costs', 'law', 'tragedies', 'obesity', 'outside', 'nationalism', 'airpower', 'ships', 'weather', 'parties', 'challenges', 'crash']"
sign,"['sign', 'signing']","['applications', 'members', 'squad', 'contract', 'striker', 'warrant', 'years', 'pledge', 'families', 'week', 'sheet', 'indictment', 'players', 'autographs']"
relocat,"['relocat', 'relocated']","['office', 'residences', 'stadium']"
educate,"['educate', 'educated']","['uggs', 'people', 'works', 'sections', 'women', 'public', 'heads', 'listeners', 'veterinarians', 'owner', 'students', 'members', 'player', 'heir', 'girls', 'population', 'college']"
melt,"['melt', 'melted']","['rolls', 'consciousness', 'sheet', 'fields', 'ice', 'pounds', 'days', 'fat', 'impression', 'mist', 'cent', 'oil']"
ground,"['ground', 'grounding']","['group', 'convention', 'bones', 'morality']"
honour,"['honour', 'honoured']","['viz', 'allegiance', 'benefits', 'pledge', 'individuals', 'time']"
contemplate,"['contemplate', 'contemplates', 'contemplating']","['sensation', 'meditator', 'mortification', 'change', 'spinners', 'appointment', 'phenomenon', 'noting', 'meditators', 'aggression', 'everything', 'points', 'moves', 'horizons', 'treatments', 'control', 'marriage', 'resolutions']"
address,"['address', 'addressing']","['way', 'problem', 'plight', 'challenges', 'issue', 'nation', 'night', 'concerns', 'matter', 'types', 'violations', 'point', 'comment', 'owner', 'purposes', 'affordability', 'causes', 'candidates', 'plans', 'array', 'details', 'needs', 'problems', 'right', 'questions', 'thing', 'theory', 'concern', 'solutions', 'chain', 'shortfalls', 'rant', 'infrastructure', 'commitment', 'disease', 'section', 'initiatives', 'use', 'fact', 'issues', 'syllabus', 'men', 'prevalence', 'student', 'teacher', 'shortfall', 'speakers', 'factors', 'conference', 'taskforce', 'delegates']"
reclaim,"['reclaim', 'reclaiming']","['neighbourhood', 'territory', 'vat', 'rights', 'word', 'possessions']"
love,"['love', 'loves', 'loved']","['love', 'heart', 'voice', 'cake', 'death', 'song', 'somebody', 'c', 't', 'view', 'someone', 'cakes', 'whom', 'creation', 'doers', 'person', 'mom', 'sharing', 'everyone', 'experience', 'man', 'woman', 'words', 'dish', 'shopping', 'husband', 'movies', 'petals', 'son', 'administration', 'b', 'a', 'tones', 'students', 'trip', 'bowl']"
prefer,"['prefer', 'prefers']","['life', 'disbelief', 'flipcart', 'women', 'sperm', 'others', 'doctor', 'treatment', 'readers', 'handouts', 'workawayers', 'people', 'economy', 'mediocrity', 'term', 'indictment', 'bowlers', 'bounce', 'negotiations', 'kisses', 'strikes', 'shirts', 'brewers', 'grains', 'turtle', 'hue', 'tablets', 'element', 'automobiles', 'climbers', 'salads', 'depositors', 'money', 'success', 'worker', 'systems', 'freedom', 'shops', 'content', 'sex', 'clients', 'designers', 'player', 'trade', 'code', 'providers', 'mtas', 'software', 'smile', 'person']"
afford,"['afford', 'afforded']","['day', 'mistake', 'lives', 'pleasure', 'opportunity', 'passage', 'sentiment', 'homecoming', 'people', 'studios', 'minae', 'guarantees', 'measure', 'price', 'up', 'distance', 'subscribers', 'protection', 'extremism', 'digs', 'woman', 'government', 'company', 'cake', 'vacation', 'product', 'purchasing', 'affluence', 'care', 'earners', 'solutions', 'individuals', 'technologies', 'systems', 'food', 'anything', 'shopping', 'arguement', 'agencies', 'counsellors', 'municipality', 'training', 'everyone', 'respect', 'time', 'livelihood', 'personality', 'artists', 'period', 'opportunities', 'predecessor']"
refrain,"['refrain', 'refrained']","['group', 'brands', 'user', 'narrator', 'officials']"
pretend,"['pretend', 'pretends']",['friend']
rehabilitate,"['rehabilitate', 'rehabilitated']","['creature', 'masculinities', 'sector']"
suck,"['suck', 'sucking']","['rod', 'batsmen', 'time', 'people', 'services', 'suck', 'blood', 'organs', 'methane', 'vacuum', 'will', 'class', 'money', 'reflexes', 'sap', 'pipe', 'planet']"
stress,"['stress', 'stressed']","['nature', 'point', 'importance', 'excellence', 'effects', 'members', 'education', 'fact', 'symposium']"
feature,"['feature', 'features', 'featured']","['personalities', 'variety', 'scenes', 'mod', 'lobbies', 'experts', 'triathlon', 'set', 'acts', 'comments', 'games', 'ballplayers', 'link', 'pubs', 'sessions', 'voyage', 'calls', 'ports', 'suite', 'emigration', 'bmi', 'name', 'stamp', 'photo', 'insignia', 'nations', 'building', 'festival', 'skimboarding', 'app', 'plaster', 'spot', 'woman', 'missions', 'nothing', 'works', 'tower', 'clockfaces', 'cavities', 'comb', 'wattles', 'pool', 'menu', 'fusion', 'breath', 'exhibit', 'episode', 'housemates', 'coast', 'mangroves', 'songs', 'smack', 'album', 'daughter', 'levels', 'facilities', 'events', 'sort', 'users', 'complex', 'centre', 'marble', 'art', 'recording', 'premium', 'mansion', 'call', 'music', 'selection', 'race', 'refugee', 'win', 'performances', 'blog', 'photographs', 'flexibility', 'highlight', 'panel', 'version', 'portrayals', 'story', 'year', 'man', 'morning', 'build', 'collection', 'retiree']"
yearn,"['yearn', 'yearning']","['people', 'foods']"
derive,"['derive', 'derives', 'deriving']","['answers', 'men', 'light', 'view', 'benefits', 'characteristics', 'morality', 'dignity', 'meaning', 'governments', 'power', 'arteries', 'list', 'business', 'consumers', 'name', 'deal', 'value', 'proof', 'livelihood']"
celebrate,"['celebrate', 'celebrates', 'celebrating']","['person', 'today', 'democracy', 'people', 'passing', 'success', 'start', 'centennial', 'years', 'launch', 'visitors', 'survival', 'life', 'birth', 'tonight', 'women', 'achievement', 'time', 'completion', 'month', 'accomplishments', 'year', 'season', 'festival', 'others', 'history', 'birthday', 'birthdays', 'heritage', 'awards', 'talent', 'naming', 'performance', 'moments', 'rest', 'exhibition', 'power', 'train', 'past', 'increase', 'anniversary', 'wedding', 'part', 'grandmother', 'place', 'country', 'couple', 'end', 'century', 'fandom', 'achievements', 'christmas']"
style,"['style', 'styles', 'styled']","['things', 'moustache', 'seat', 'self']"
revert,"['revert', 'reverted']","['disbelief', 'beings', 'mind', 'countries', 'energy', 'things', 'country']"
amnesty,"['amnesty', 'amnestying']","['time', 'player']"
square,"['square', 'squaring']","['club', 'series', 'interest', 'circle', 'hughes', 'amplitude']"
retrieve,"['retrieve', 'retrieves', 'retrieved']","['pages', 'crates', 'summer', 'images', 'rows', 'number', 'balloon', 'information']"
sponsor,"['sponsor', 'sponsoring']","['projects', 'methods', 'function', 'foundation', 'club', 'terrorism', 'employers', 'workers', 'fees', 'events', 'men']"
abide,"['abide', 'abiding']","['mind', 'everyone', 'law']"
initiate,"['initiate', 'initiates', 'initiating']","['tanks', 'discussion', 'proceedings', 'group', 'action', 'round', 'governments', 'wars', 'war', 'positions', 'breastfeeding', 'user', 'departure', 'program', 'dispute', 'change']"
neglect,"['neglect', 'neglects']","['book', 'duty', 'need', 'part', 'duties', 'meaning', 'rules', 'funding', 'sectors']"
reopen,"['reopen', 'reopened']","['investigation', 'discussions', 'route', 'school']"
vote,"['vote', 'votes', 'voting']","['waste', 'sentiments', 'members', 'people', 'participants', 'oui', 'resolution', 'chance', 'seniors', 'interest', 'base', 'republican', 'everyone', 'populace', 'freedom', 'labor', 'informal', 'citizens', 'fans', 'fighters', 'women', 'state', 'mr', 'legislation']"
open,"['open', 'opening']","['cust', 'account', 'today', 'gates', 'palm', 'palms', 'package', 'lips', 'document', 'eyes', 'sky', 'doors', 'dynasty', 'batting', 'door', 'code', 'vote', 'threads', 'band', 'lid', 'resident', 'accounts', 'wrap', 'bottles', 'trade', 'way', 'stadium', 'museum', 'opportunities', 'show', 'mouth', 'year', 'floodgates', 'chain', 'businesses', 'lines', 'entry', 'chapter', 'season', 'eye', 'selection', 'hours', 'competition', 'link', 'session']"
bite,"['bite', 'bites', 'biting']","['lips', 'teeth', 'times', 'tongue', 'sanctions', 'violence', 'penis', 'nails', 'hand', 'lures', 'pieces', 'head']"
indicate,"['indicate', 'indicates', 'indicated']","['break', 'presence', 'verse', 'history', 'events', 'closure', 'int', 'interior', 'ratio', 'percentage', 'ability', 'size', 'evidence', 'line', 'rate', 'symbol', 'style', 'absence', 'time', 'diagnosis', 'level', 'direction', 'officials', 'margin', 'company', 'analysis', 'willingness', 'dimension', 'outcome', 'launching', 'market', 'number', 'speed', 'length', 'structure', 'name', 'order', 'circle', 'placement', 'zone', 'value', 'difference', 'description', 'someone', 'preparedness', 'products', 'diuretics', 'amounts', 'preference', 'position', 'plans', 'half', 'government', 'desire', 'content', 'yesterday', 'stock', 'jurors', 'links']"
draft,"['draft', 'drafting']","['b', 'mails', 'charter', 'protocols', 'agreement', 'thousands', 'troops', 'plans']"
dissipate,"['dissipate', 'dissipated']","['lot', 'waves', 'forces', 'stress', 'fog']"
convene,"['convene', 'convenes', 'convened']","['team', 'meetings', 'meeting']"
cite,"['cite', 'cites', 'cited']","['examples', 'words', 'document', 'tests', 'graduates', 'difficulties', 'example', 'report', 'years', 'takbir', 'ignorance', 'comments', 'references', 'figures', 'entry', 'irregularities', 'complexity', 'brutality', 'year', 'slaughter', 'filing', 'paper', 'email', 'position', 'photos', 'desire', 'fact', 'council', 'case']"
snatch,"['snatch', 'snatched']","['something', 'credits', 'draw', 'one', 'win', 'thing', 'house', 'handbag']"
translate,"['translate', 'translates', 'translating']","['books', 'meaning', 'whom', 'vision', 'power', 'knowledge', 'superiority', 'desire', 'page', 'text', 'problems', 'ideas', 'bloodshed', 'phrases']"
saw,"['saw', 'sawed']","['time', 'grief', 'politics', 'man', 'rahm', 'comment', 'look', 'week', 'course', 'birth', 'fathers', 'similarities', 'scar', 'action', 'battalion', 'fighting', 'drop', 'light', 'cello', 'race', 'win', 'season', 'venue', 'night', 'nobody', 'explosion', 'planes', 'need', 'mystery', 'minutes', 'display', 'wisdom', 'videos', 'copy', 'reign', '1930s', 'establishment', 'area', 'deal', 'changes', 'publications', 'publication', 'comments', 'acts', 'slaves', 'master', 'cloud', 'whoreson', 'damsel', 'words', 'pages', 'shroud', 'mother', 'veteran', 'hunter', 'moose', 'deer', 'day', 'others', 'yesterday', 'surfer', 'selection', 'alot', 'use', 'betting', 'morning', 'condition', 'provinces', 'increases', 'elections', 'resolve', 'button', 'images', 'books', 'opportunity', 'son', 'king', 'colonies', 'capitalism', 'change', 'crates', 'chart', 'crater', 'report', 'tourists', 'visit', 'standing', 'dome', 'people', 'mountain', 'village', 'fault', 'point', 'powers', 'combination', 'chip', 'face', 'interaction', 'rem', 'flashes', 'today', 'headlines', 'snake', 'doctor', 'replay', 'film', 'stuff', 'problem', 'parades', 'temples', 'lights', 'exit', 'transition', 'something', 'while', 'building', 'situation', 'guys', 'potential', 'departures', 'movie', 'destruction', 'tattoo', 'lot', 'profits', 'email', 'eyes', 'photo', 'picture', 'breadth', 'cabin', 'straying', 'month', 'strike', 'emergence', 'chunk', 'anybody', 'collapse', 'officials', 'eye', 'websites', 'mess', 'idiot', 'mum', 'car', 'flashing', 'poster', 'mark', 'strikeouts', 'number', 'games', 'legislation', 'leader', 'competition', 'plenty', 'cushions', 'wreath', 'future', 'authorities', 'dispute', 'effect', 'lady', 'head']"
